,year,mmwr_week,Reporting Area,Meningococcal disease (continued); Other serogroups current week,Meningococcal disease (continued); Other serogroups previous 52 weeks maximum�,Meningococcal disease (continued); Other serogroups cummulative YTD for 2019�,Meningococcal disease (continued); Other serogroups cummulative YTD for 2018�,Meningococcal disease (continued); Unknown serogroup current week,Meningococcal disease (continued); Unknown serogroup previous 52 weeks maximum�,Meningococcal disease (continued); Unknown serogroup cummulative YTD for 2019�,Meningococcal disease (continued); Unknown serogroup cummulative YTD for 2018�,column labels in same order that data fields appears in each record below:
64,2019,5,Montana,0,0,0,0,1,0,1,0,
65,2019,5,Nevada,0,0,0,0,0,1,0,1,
66,2019,5,New Mexico,0,0,0,0,0,0,0,1,
67,2019,5,Utah,0,0,0,0,0,0,0,0,
68,2019,5,Wyoming,0,0,0,0,0,0,0,0,
69,2019,5,Pacific,0,1,0,0,0,3,5,13,
70,2019,5,Alaska,0,0,0,0,0,0,0,0,
71,2019,5,California,0,0,0,0,0,3,3,12,
72,2019,5,Hawaii,0,0,0,0,0,1,1,0,
73,2019,5,Oregon,0,0,0,0,0,1,1,1,
74,2019,5,Washington,0,1,0,0,0,2,0,0,
75,2019,5,U.S. Territories,0,0,0,0,0,0,0,0,
76,2019,5,American Samoa,0,0,0,0,0,0,0,0,
77,2019,5,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
78,2019,5,Guam,0,0,0,0,0,0,0,0,
79,2019,5,Puerto Rico,0,0,0,0,0,0,0,0,
80,2019,5,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
81,2019,5,Non-U.S. Residents,0,NC,0,NP,0,NC,0,NP,
82,2019,5,Total,0,3,0,5,1,7,12,26,
13,2019,6,"U.S. Residents, excluding U.S. Territories",0,3,1,7,0,7,11,28,
14,2019,6,New England,0,0,0,0,0,1,0,0,
15,2019,6,Connecticut,0,0,0,0,0,1,0,0,
16,2019,6,Maine,0,0,0,0,0,0,0,0,
17,2019,6,Massachusetts,0,0,0,0,0,1,0,0,
18,2019,6,New Hampshire,0,0,0,0,0,0,0,0,
19,2019,6,Rhode Island,0,0,0,0,0,0,0,0,
20,2019,6,Vermont,0,0,0,0,0,0,0,0,
21,2019,6,Middle Atlantic,0,1,0,0,0,3,1,4,
22,2019,6,New Jersey,0,0,0,0,0,1,0,1,
23,2019,6,New York (excluding New York City),0,1,0,0,0,0,0,1,
24,2019,6,New York City,0,0,0,0,0,1,1,1,
25,2019,6,Pennsylvania,0,0,0,0,0,2,0,1,
26,2019,6,East North Central,0,1,0,1,0,2,0,0,
27,2019,6,Illinois,0,1,0,0,0,0,0,0,
28,2019,6,Indiana,0,0,0,0,0,1,0,0,
29,2019,6,Michigan,0,0,0,0,0,1,0,0,
30,2019,6,Ohio,0,1,0,0,0,2,0,0,
31,2019,6,Wisconsin,0,1,0,1,0,1,0,0,
32,2019,6,West North Central,0,0,0,0,0,3,0,2,
33,2019,6,Iowa,0,0,0,0,0,1,0,0,
34,2019,6,Kansas,0,0,0,0,0,0,0,0,
35,2019,6,Minnesota,0,0,0,0,0,0,0,0,
36,2019,6,Missouri,0,0,0,0,0,3,0,2,
37,2019,6,Nebraska,0,0,0,0,0,1,0,0,
38,2019,6,North Dakota,0,0,0,0,0,0,0,0,
39,2019,6,South Dakota,0,0,0,0,0,0,0,0,
40,2019,6,South Atlantic,0,1,0,2,0,3,3,4,
41,2019,6,Delaware,0,0,0,0,0,1,0,0,
42,2019,6,District of Columbia,0,0,0,0,0,0,0,0,
43,2019,6,Florida,0,0,0,0,0,2,1,3,
44,2019,6,Georgia,0,1,0,1,0,1,2,0,
45,2019,6,Maryland,0,1,0,1,0,0,0,0,
46,2019,6,North Carolina,0,0,0,0,0,1,0,1,
47,2019,6,South Carolina,0,0,0,0,0,0,0,0,
48,2019,6,Virginia,0,0,0,0,0,1,0,0,
49,2019,6,West Virginia,0,1,0,0,0,0,0,0,
50,2019,6,East South Central,0,0,0,0,0,2,0,0,
51,2019,6,Alabama,0,0,0,0,0,1,0,0,
52,2019,6,Kentucky,0,0,0,0,0,1,0,0,
53,2019,6,Mississippi,0,0,0,0,0,1,0,0,
54,2019,6,Tennessee,0,0,0,0,0,1,0,0,
55,2019,6,West South Central,0,2,0,2,0,2,0,2,
56,2019,6,Arkansas,0,1,0,0,0,0,0,0,
57,2019,6,Louisiana,0,0,0,0,0,0,0,0,
58,2019,6,Oklahoma,0,1,0,0,0,0,0,0,
59,2019,6,Texas,0,1,0,2,0,2,0,2,
60,2019,6,Mountain,0,1,1,2,0,2,2,2,
61,2019,6,Arizona,0,0,0,0,0,1,1,0,
62,2019,6,Colorado,0,1,0,0,0,1,1,0,
63,2019,6,Idaho,0,0,0,2,0,0,0,0,
64,2019,6,Montana,0,1,1,0,0,0,0,0,
65,2019,6,Nevada,0,0,0,0,0,1,0,1,
66,2019,6,New Mexico,0,0,0,0,0,0,0,1,
67,2019,6,Utah,0,0,0,0,0,0,0,0,
68,2019,6,Wyoming,0,0,0,0,0,0,0,0,
69,2019,6,Pacific,0,1,0,0,0,3,5,14,
70,2019,6,Alaska,0,0,0,0,0,0,0,0,
71,2019,6,California,0,0,0,0,0,2,3,13,
72,2019,6,Hawaii,0,0,0,0,0,1,1,0,
73,2019,6,Oregon,0,0,0,0,0,1,1,1,
