date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,4.180000000002581,4.000000000002069,4.000000000002069,4.000000000002069,4.000000000002069,4.000000000002069,3.000000000002069,4.000000000004138,3.000000000002069,5.000000000002069,3.000000000002069,5.000000000002069,3.000000000002069,5.0000000000021005,3.000000000002069,5.0000000000021005,3.0,5.000000000004137,3.0,5.000000000004137,2.7500000000005174,5.000000000004137,2.000000000002069,6.000000000004138,2.000000000002069,6.000000000004138,2.000000000000662,6.675000000004761,2.0,7.000000000004138,2.0,7.0000000000041585,1.0000000000020657,7.0000000000062075,1.0000000000020368,8.00000000000417,1.0,8.000000000006207,0.4750000000010867,9.000000000005238,1.5343715447873824e-12,10.000000000006207
2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
